time,latitude,longitude,depth,mag,net,id
20200,38.82749939,-122.7968369,2.609999895,0.98,nc,nc75020452
20180,38.7563324,-122.7275009,0.970000029,2.22,nc,nc75020447
20160,38.82666779,-122.7693329,2.869999886,0.76,nc,nc75020437
20140,-17.6452,-178.9535,537.291,4.2,us,us7000mrjz
20120,38.48966667,-112.9033333,2.3,1.67,uu,uu80001318
20100,38.491,-112.9066667,1.5,1.72,uu,uu80072871
20080,61.5808,-149.9892,33.6,1.6,ak,ak0247g8fn7r
20060,36.0371667,-117.602,1.47,1.28,ci,ci40619007
20040,39.19466782,-123.1651688,2.5,1.27,nc,nc75020427
20020,38.83983231,-122.7958298,1.879999995,0.74,nc,nc75020422
20000,19.3895,-155.2746667,1.63,2.48,hv,hv74271491
19980,41.58,-112.4118333,9.22,1.36,uu,uu80072816
19960,63.0775,-151.3577,0,1.5,ak,ak0247g7j1by
19940,59.4361,-153.1962,88.3,2.6,ak,ak0247g7i0lj
19920,61.6216,-149.8572,49.9,1.4,ak,ak0247g7ggpn
19900,40.9074,84.2695,12.543,4.6,us,us7000mrjg
19880,17.9548,-66.731,10,2.97,pr,pr2024162001
19860,38.82216644,-122.7638321,2.200000048,0.96,nc,nc75020412
19840,63.0065,-150.6136,116.5,1.8,ak,ak0247g78512
19820,36.6586,-116.2726,7.4,1.2,nn,nn00879016
19800,61.0263,-152.2822,102.7,1.6,ak,ak0247g6u6dh
19780,38.8370018,-122.791832,2.069999933,0.93,nc,nc75020382
19760,38.82616806,-122.8071671,2.410000086,0.76,nc,nc75020377
19740,-20.4192,-69.0689,118.924,4,us,us7000mrhx
19720,38.16366667,-112.5798333,3.62,0.97,uu,uu80072796
19700,38.7820015,-122.7253342,1.279999971,0.77,nc,nc75020362
19680,38.82766724,-122.8111649,1.149999976,1.09,nc,nc75020347
19660,19.3815,-155.2401667,1.88,2.46,hv,hv74271371
19640,66.269,-157.4378,0,1.5,ak,ak0247g62zqc
19620,19.38116646,-155.2375031,1.710000038,2.48,hv,hv74271366
19600,60.9668,-147.4208,9.1,2.1,ak,ak0247g62bj4
19580,19.38333321,-155.2476654,1.399999976,1.93,hv,hv74271351
19560,18.1193,-66.7325,21,2.31,pr,pr2024162000
19540,38.83100128,-122.8138351,2.210000038,1.21,nc,nc75020342
19520,36.96816635,-121.6100006,2.849999905,1.76,nc,nc75020337
19500,2.8349,99.1389,175.346,4.4,us,us7000mrgz
19480,46.208,-122.1943333,-1.66,0.1,uw,uw62005707
19460,51.78716667,-178.825,5.51,0.32,av,av93158166
19440,60.1045,-152.8344,94.4,1.6,ak,ak0247g4uuhp
19420,18.1375,-67.04366667,14.97,2.19,pr,pr71452078
19400,39.3984,-119.572,0,1,nn,nn00879001
19380,19.36483383,-155.2949982,0.790000021,2.05,hv,hv74271206
19360,37.2739,-118.1419,5.2,1.4,nn,nn00878999
19340,63.0707,-151.6778,0,2.1,ak,ak0247g4bb29
19320,33.3746667,-118.106,-0.11,2.08,ci,ci40618511
19300,32.9225,-116.2306667,8.89,1.01,ci,ci40618503
19280,38.82216644,-122.8246689,2.160000086,0.31,nc,nc75020312
19260,35.54233333,-96.74716667,6.63,1.65,ok,ok2024ljal
19240,63.0959,-151.3521,0,1.4,ak,ak0247g3om8m
19220,46.9345,-121.9126667,9.39,1.5,uw,uw62005692
19200,33.921,-116.7855,17.02,0.87,ci,ci40618495
19180,38.78866577,-122.7816696,4.269999981,0.99,nc,nc75020307
19160,38.83649826,-122.7888336,2.099999905,1.02,nc,nc75020302
19140,38.80500031,-122.7781677,2,1.47,nc,nc75020297
19120,38.80450058,-122.7783356,1.840000033,1.69,nc,nc75020292
19100,38.2044,-117.7425,0.6,0.9,nn,nn00878998
19080,38.81150055,-122.7968369,1.830000043,1.06,nc,nc75020287
19060,7.9517,91.8213,10,4.7,us,us7000mrgb
19040,33.452,-116.5101667,11.6,1.62,ci,ci40618487
19020,61.6265,-150.8581,55.4,2.1,ak,ak0247g31a3m
19000,38.59616852,-122.802002,10.89999962,1.45,nc,nc75020282
18980,19.39249992,-155.2781677,1.129999995,1.85000002,hv,hv74271091
18960,31.737,-104.114,6.7023,2.3,tx,tx2024liwu
18940,28.541,-98.555,5.8801,1.5,tx,tx2024liwt
18920,31.64,-104.3,3.9978,1.7,tx,tx2024liwr
18900,51.2506,-178.3277,23.5,3.9,ak,ak0247g2jx32
18880,19.38083267,-155.245163,0.109999999,2.24,hv,hv74271076
18860,19.38050079,-155.2391663,2.069999933,2.21,hv,hv74271081
18840,53.4761,-163.4518,27.969,4.4,us,us7000mrg0
18820,28.687,-98.965,10.4004,1.6,tx,tx2024liux
18800,37.1503,-117.714,0,0.8,nn,nn00878993
18780,38.80699921,-122.8208313,2.579999924,0.35,nc,nc75020272
18760,65.2466,-149.092,15.6,1,ak,ak0247g1v34b
18740,32.6421667,-115.7648333,5.65,1.52,ci,ci40618479
18720,15.5067,-95.3484,26.534,4.3,us,us7000mrfy
18700,38.1222,-118.2351,9.1,1.5,nn,nn00878991
18680,63.4211,-150.1155,121.8,1.5,ak,ak0247g1jj28
18660,38.83466721,-122.8103333,2.029999971,0.77,nc,nc75020267
18640,38.82116699,-122.8113327,1.799999952,1.04,nc,nc75020262
18620,38.82916641,-122.8123322,2.109999895,1,nc,nc75020257
18600,31.607,-104.505,8.4839,1.8,tx,tx2024litb
18580,38.82633209,-122.8050003,1.230000019,0.7,nc,nc75020252
